DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2005-Q4,88.305,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2006-Q1,87.132,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2006-Q2,88.174,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2006-Q3,88.513,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2006-Q4,90.152,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2007-Q1,89.430,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2007-Q2,90.294,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2007-Q3,90.597,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2007-Q4,92.451,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2008-Q1,91.268,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2008-Q2,92.463,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2008-Q3,92.599,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2008-Q4,94.065,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2009-Q1,92.770,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2009-Q2,93.314,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2009-Q3,93.261,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2009-Q4,94.774,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2010-Q1,93.289,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2010-Q2,93.944,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2010-Q3,94.154,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2010-Q4,95.409,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2011-Q1,94.327,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2011-Q2,94.961,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2011-Q3,95.153,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2011-Q4,96.615,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2012-Q1,95.458,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2012-Q2,96.106,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2012-Q3,96.549,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2012-Q4,97.820,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2013-Q1,96.907,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2013-Q2,97.440,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2013-Q3,97.651,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2013-Q4,98.748,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2014-Q1,97.791,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2014-Q2,98.332,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2014-Q3,98.546,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2014-Q4,99.786,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2015-Q1,98.923,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2015-Q2,99.744,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2015-Q3,100.044,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2015-Q4,101.223,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2016-Q1,100.046,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2016-Q2,100.679,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2016-Q3,100.841,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2016-Q4,102.013,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2017-Q1,101.002,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2017-Q2,101.759,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2017-Q3,101.988,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2017-Q4,103.421,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2018-Q1,102.555,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2018-Q2,103.039,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2018-Q3,103.590,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2018-Q4,105.195,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2019-Q1,104.273,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2019-Q2,104.831,,
